,status,executionTime,nbResult,query,workload,approach,run
0,ok,0.43,1.0,q09a,rdfs,FedUp-FedX,3
0,ok,0.316,1.0,q09b,rdfs,FedUp-FedX,1
0,ok,0.463,1.0,q09b,rdfs,FedUp-FedX,2
0,ok,0.534,1.0,q09b,rdfs,FedUp-FedX,3
0,ok,0.32,1.0,q09c,rdfs,FedUp-FedX,1
0,ok,0.46,1.0,q09c,rdfs,FedUp-FedX,2
0,ok,0.353,1.0,q09c,rdfs,FedUp-FedX,3
0,ok,0.305,1.0,q09d,rdfs,FedUp-FedX,1
0,ok,0.507,1.0,q09d,rdfs,FedUp-FedX,2
0,ok,0.308,1.0,q09d,rdfs,FedUp-FedX,3
0,ok,0.651,1.0,q09e,rdfs,FedUp-FedX,1
0,ok,0.404,1.0,q09e,rdfs,FedUp-FedX,2
0,ok,0.504,1.0,q09e,rdfs,FedUp-FedX,3
0,ok,0.597,1.0,q09f,rdfs,FedUp-FedX,1
0,ok,0.43,1.0,q09f,rdfs,FedUp-FedX,2
0,ok,0.494,1.0,q09f,rdfs,FedUp-FedX,3
0,ok,0.363,1.0,q09g,rdfs,FedUp-FedX,1
0,ok,0.479,1.0,q09g,rdfs,FedUp-FedX,2
0,ok,0.523,1.0,q09g,rdfs,FedUp-FedX,3
0,ok,0.324,1.0,q09h,rdfs,FedUp-FedX,1
0,ok,0.32,1.0,q09h,rdfs,FedUp-FedX,2
0,ok,0.341,1.0,q09h,rdfs,FedUp-FedX,3
0,ok,0.331,1.0,q09i,rdfs,FedUp-FedX,1
0,ok,0.282,1.0,q09i,rdfs,FedUp-FedX,2
0,ok,0.291,1.0,q09i,rdfs,FedUp-FedX,3
0,ok,0.345,1.0,q09j,rdfs,FedUp-FedX,1
0,ok,0.312,1.0,q09j,rdfs,FedUp-FedX,2
0,ok,0.503,1.0,q09j,rdfs,FedUp-FedX,3
0,ok,0.315,1.0,q10a,rdfs,FedUp-FedX,1
0,ok,0.307,1.0,q10a,rdfs,FedUp-FedX,2
0,ok,0.3,1.0,q10a,rdfs,FedUp-FedX,3
0,ok,0.363,1.0,q10b,rdfs,FedUp-FedX,1
0,ok,0.337,1.0,q10b,rdfs,FedUp-FedX,2
0,ok,0.54,1.0,q10b,rdfs,FedUp-FedX,3
0,ok,0.376,1.0,q10c,rdfs,FedUp-FedX,1
0,ok,0.313,1.0,q10c,rdfs,FedUp-FedX,2
0,ok,0.282,1.0,q10c,rdfs,FedUp-FedX,3
0,ok,0.346,1.0,q10d,rdfs,FedUp-FedX,1
0,ok,0.328,1.0,q10d,rdfs,FedUp-FedX,2
0,ok,0.464,1.0,q10d,rdfs,FedUp-FedX,3
0,ok,0.779,2.0,q10e,rdfs,FedUp-FedX,1
0,ok,0.567,2.0,q10e,rdfs,FedUp-FedX,2
0,ok,0.454,2.0,q10e,rdfs,FedUp-FedX,3
0,ok,0.445,1.0,q10f,rdfs,FedUp-FedX,1
0,ok,0.573,1.0,q10f,rdfs,FedUp-FedX,2
0,ok,0.569,1.0,q10f,rdfs,FedUp-FedX,3
0,ok,0.456,1.0,q10g,rdfs,FedUp-FedX,1
0,ok,0.905,1.0,q10g,rdfs,FedUp-FedX,2
0,ok,0.605,1.0,q10g,rdfs,FedUp-FedX,3
0,ok,0.324,1.0,q10h,rdfs,FedUp-FedX,1
0,ok,0.543,1.0,q10h,rdfs,FedUp-FedX,2
0,ok,0.52,1.0,q10h,rdfs,FedUp-FedX,3
0,ok,0.462,1.0,q10i,rdfs,FedUp-FedX,1
0,ok,0.422,1.0,q10i,rdfs,FedUp-FedX,2
0,ok,0.429,1.0,q10i,rdfs,FedUp-FedX,3
0,ok,0.339,1.0,q10j,rdfs,FedUp-FedX,1
0,ok,1.031,1.0,q10j,rdfs,FedUp-FedX,2
0,ok,0.589,1.0,q10j,rdfs,FedUp-FedX,3
0,ok,0.339,9.0,q11a,rdfs,FedUp-FedX,1
0,ok,0.309,9.0,q11a,rdfs,FedUp-FedX,2
0,ok,0.494,9.0,q11a,rdfs,FedUp-FedX,3
0,ok,0.343,9.0,q11b,rdfs,FedUp-FedX,1
0,ok,0.484,9.0,q11b,rdfs,FedUp-FedX,2
0,ok,0.485,9.0,q11b,rdfs,FedUp-FedX,3
0,ok,0.312,9.0,q11c,rdfs,FedUp-FedX,1
0,ok,0.333,9.0,q11c,rdfs,FedUp-FedX,2
0,ok,0.519,9.0,q11c,rdfs,FedUp-FedX,3
0,ok,0.418,9.0,q11d,rdfs,FedUp-FedX,1
0,ok,0.461,9.0,q11d,rdfs,FedUp-FedX,2
0,ok,0.467,9.0,q11d,rdfs,FedUp-FedX,3
0,ok,0.425,9.0,q11e,rdfs,FedUp-FedX,1
0,ok,0.51,9.0,q11e,rdfs,FedUp-FedX,2
0,ok,0.392,9.0,q11e,rdfs,FedUp-FedX,3
0,ok,0.354,9.0,q11f,rdfs,FedUp-FedX,1
0,ok,0.612,9.0,q11f,rdfs,FedUp-FedX,2
0,ok,0.306,9.0,q11f,rdfs,FedUp-FedX,3
0,ok,0.376,9.0,q11g,rdfs,FedUp-FedX,1
0,ok,0.605,9.0,q11g,rdfs,FedUp-FedX,2
0,ok,0.582,9.0,q11g,rdfs,FedUp-FedX,3
0,ok,0.411,9.0,q11h,rdfs,FedUp-FedX,1
0,ok,0.366,9.0,q11h,rdfs,FedUp-FedX,2
0,ok,0.888,9.0,q11h,rdfs,FedUp-FedX,3
0,ok,0.371,9.0,q11i,rdfs,FedUp-FedX,1
0,ok,0.341,9.0,q11i,rdfs,FedUp-FedX,2
0,ok,0.588,9.0,q11i,rdfs,FedUp-FedX,3
