,status,TotalExecutionTime,nbResult,planningTime,executionTime,query,workload,approach,run
0,ok,4.714,66,,,q07d,rdfs,FedX,1
0,ok,2.012,9,,,q07e,rdfs,FedX,1
0,ok,2.099,42,,,q07f,rdfs,FedX,1
0,ok,4.449,63,,,q07g,rdfs,FedX,1
0,ok,2.283,36,,,q07h,rdfs,FedX,1
0,ok,4.759,56,,,q07i,rdfs,FedX,1
0,ok,8.071,110,,,q07j,rdfs,FedX,1
0,ok,1.074,1,,,q08a,rdfs,FedX,1
0,ok,1.002,1,,,q08b,rdfs,FedX,1
0,ok,1.127,1,,,q08c,rdfs,FedX,1
0,ok,1.092,2,,,q08d,rdfs,FedX,1
0,ok,1.023,1,,,q08e,rdfs,FedX,1
0,ok,1.226,4,,,q08f,rdfs,FedX,1
0,ok,1.807,4,,,q08g,rdfs,FedX,1
0,ok,0.981,3,,,q08h,rdfs,FedX,1
0,ok,1.156,2,,,q08i,rdfs,FedX,1
0,ok,1.234,1,,,q08j,rdfs,FedX,1
0,ok,1.081,1,,,q09a,rdfs,FedX,1
0,ok,1.095,1,,,q09b,rdfs,FedX,1
0,ok,0.992,1,,,q09c,rdfs,FedX,1
0,ok,0.731,1,,,q09d,rdfs,FedX,1
0,ok,1.05,1,,,q09e,rdfs,FedX,1
0,ok,1.157,1,,,q09f,rdfs,FedX,1
0,ok,1.098,1,,,q09g,rdfs,FedX,1
0,ok,0.924,1,,,q09h,rdfs,FedX,1
0,ok,1.033,1,,,q09i,rdfs,FedX,1
0,ok,0.873,1,,,q09j,rdfs,FedX,1
0,ok,1.007,1,,,q10a,rdfs,FedX,1
0,ok,1.031,1,,,q10b,rdfs,FedX,1
0,ok,0.9,1,,,q10c,rdfs,FedX,1
0,ok,0.912,1,,,q10d,rdfs,FedX,1
0,ok,1.297,2,,,q10e,rdfs,FedX,1
0,ok,1.038,1,,,q10f,rdfs,FedX,1
0,ok,0.883,1,,,q10g,rdfs,FedX,1
0,ok,0.975,1,,,q10h,rdfs,FedX,1
0,ok,1.058,1,,,q10i,rdfs,FedX,1
0,ok,0.891,1,,,q10j,rdfs,FedX,1
0,ok,1.018,9,,,q11a,rdfs,FedX,1
0,ok,0.777,9,,,q11b,rdfs,FedX,1
0,ok,0.939,9,,,q11c,rdfs,FedX,1
0,ok,1.076,9,,,q11d,rdfs,FedX,1
0,ok,0.982,9,,,q11e,rdfs,FedX,1
0,ok,0.943,9,,,q11f,rdfs,FedX,1
0,ok,1.161,9,,,q11g,rdfs,FedX,1
0,ok,1.065,9,,,q11h,rdfs,FedX,1
0,ok,0.985,9,,,q11i,rdfs,FedX,1
0,ok,1.121,9,,,q11j,rdfs,FedX,1
0,ok,1.168,1,,,q12a,rdfs,FedX,1
0,ok,1.266,1,,,q12b,rdfs,FedX,1
0,ok,1.034,1,,,q12c,rdfs,FedX,1
0,ok,1.053,1,,,q12d,rdfs,FedX,1
0,ok,1.161,1,,,q12e,rdfs,FedX,1
0,ok,1.101,1,,,q12f,rdfs,FedX,1
0,ok,0.973,1,,,q12g,rdfs,FedX,1
0,ok,0.944,1,,,q12h,rdfs,FedX,1
0,ok,1.122,1,,,q12i,rdfs,FedX,1
0,ok,1.328,1,,,q12j,rdfs,FedX,1
0,ok,0.811,7,,,q01a,rdfs,Hefquin,1
0,ok,0.644,9,,,q01b,rdfs,Hefquin,1
0,ok,0.768,1,,,q01c,rdfs,Hefquin,1
0,ok,0.644,8,,,q01d,rdfs,Hefquin,1
0,ok,0.671,5,,,q01e,rdfs,Hefquin,1
0,ok,0.647,3,,,q01f,rdfs,Hefquin,1
0,ok,0.616,6,,,q01g,rdfs,Hefquin,1
0,ok,0.537,5,,,q01h,rdfs,Hefquin,1
0,ok,0.404,1,,,q01i,rdfs,Hefquin,1
0,ok,0.694,7,,,q01j,rdfs,Hefquin,1
0,ok,7.854,54,,,q02a,rdfs,Hefquin,1
0,ok,9.014,54,,,q02b,rdfs,Hefquin,1
0,ok,16.646,72,,,q02c,rdfs,Hefquin,1
0,ok,3.661,9,,,q02d,rdfs,Hefquin,1
0,ok,14.565,99,,,q02e,rdfs,Hefquin,1
0,ok,6.306,27,,,q02f,rdfs,Hefquin,1
0,ok,6.825,36,,,q02g,rdfs,Hefquin,1
0,ok,8.24,45,,,q02h,rdfs,Hefquin,1
0,ok,10.991,90,,,q02i,rdfs,Hefquin,1
0,ok,4.793,18,,,q02j,rdfs,Hefquin,1
0,ok,0.652,4,,,q03a,rdfs,Hefquin,1
0,ok,0.463,10,,,q03b,rdfs,Hefquin,1
0,ok,0.843,6,,,q03c,rdfs,Hefquin,1
0,ok,1.125,8,,,q03d,rdfs,Hefquin,1
0,ok,0.879,6,,,q03e,rdfs,Hefquin,1
0,ok,0.816,5,,,q03f,rdfs,Hefquin,1
0,ok,0.668,4,,,q03g,rdfs,Hefquin,1
0,ok,0.907,10,,,q03h,rdfs,Hefquin,1
0,ok,0.576,6,,,q03i,rdfs,Hefquin,1
0,ok,0.859,10,,,q03j,rdfs,Hefquin,1
0,ok,0.815,7,,,q04a,rdfs,Hefquin,1
0,ok,0.775,6,,,q04b,rdfs,Hefquin,1
0,ok,0.922,10,,,q04c,rdfs,Hefquin,1
0,ok,0.499,1,,,q04d,rdfs,Hefquin,1
0,ok,0.717,6,,,q04e,rdfs,Hefquin,1
0,ok,0.798,10,,,q04f,rdfs,Hefquin,1
0,ok,0.89,8,,,q04g,rdfs,Hefquin,1
0,ok,0.863,9,,,q04h,rdfs,Hefquin,1
0,ok,0.801,8,,,q04i,rdfs,Hefquin,1
0,ok,0.905,4,,,q04j,rdfs,Hefquin,1
0,ok,5.966,2,,,q05a,rdfs,Hefquin,1
0,ok,5.465,5,,,q05b,rdfs,Hefquin,1
0,ok,1.803,1,,,q05c,rdfs,Hefquin,1
0,ok,1.665,3,,,q05d,rdfs,Hefquin,1
0,ok,2.668,1,,,q05e,rdfs,Hefquin,1
0,ok,4.808,2,,,q05f,rdfs,Hefquin,1
0,ok,3.398,5,,,q05g,rdfs,Hefquin,1
0,ok,5.168,5,,,q05h,rdfs,Hefquin,1
0,ok,2.367,2,,,q05i,rdfs,Hefquin,1
0,ok,1.433,3,,,q05j,rdfs,Hefquin,1
0,ok,1.001,39,,,q06a,rdfs,Hefquin,1
0,ok,1.024,15,,,q06b,rdfs,Hefquin,1
0,ok,0.711,13,,,q06c,rdfs,Hefquin,1
0,ok,1.008,39,,,q06d,rdfs,Hefquin,1
0,ok,1.153,41,,,q06e,rdfs,Hefquin,1
0,ok,0.676,7,,,q06f,rdfs,Hefquin,1
0,ok,1.057,41,,,q06g,rdfs,Hefquin,1
0,ok,0.863,15,,,q06h,rdfs,Hefquin,1
0,ok,0.729,15,,,q06i,rdfs,Hefquin,1
0,ok,0.754,9,,,q06j,rdfs,Hefquin,1
0,ok,0.382,0,,,q07a,rdfs,Hefquin,1
0,ok,0.341,0,,,q07b,rdfs,Hefquin,1
0,ok,0.493,0,,,q07c,rdfs,Hefquin,1
0,ok,0.391,0,,,q07d,rdfs,Hefquin,1
0,ok,0.295,0,,,q07e,rdfs,Hefquin,1
0,ok,0.369,0,,,q07f,rdfs,Hefquin,1
0,ok,0.442,0,,,q07g,rdfs,Hefquin,1
0,ok,0.47,0,,,q07h,rdfs,Hefquin,1
0,ok,0.455,0,,,q07i,rdfs,Hefquin,1
0,ok,1.173,0,,,q07j,rdfs,Hefquin,1
0,ok,0.506,1,,,q08a,rdfs,Hefquin,1
0,ok,0.555,1,,,q08b,rdfs,Hefquin,1
0,ok,0.668,1,,,q08c,rdfs,Hefquin,1
0,ok,0.57,2,,,q08d,rdfs,Hefquin,1
0,ok,0.44,1,,,q08e,rdfs,Hefquin,1
0,ok,0.521,4,,,q08f,rdfs,Hefquin,1
0,ok,0.666,4,,,q08g,rdfs,Hefquin,1
0,ok,0.546,3,,,q08h,rdfs,Hefquin,1
